NUM_PASAJEROS;ANIO;MES;DIA;EsEscolar;EsFestivo
39468;2018;1;1;0;1
111450;2018;1;2;0;0
117467;2018;1;3;0;0
117495;2018;1;4;0;0
121405;2018;1;5;0;0
39264;2018;1;6;0;1
59310;2018;1;7;0;0
120811;2018;1;8;1;0
124966;2018;1;9;1;0
126072;2018;1;10;1;0
124379;2018;1;11;1;0
127683;2018;1;12;1;0
79489;2018;1;13;1;0
56725;2018;1;14;1;0
118647;2018;1;15;1;0
119368;2018;1;16;1;0
125191;2018;1;17;1;0
124927;2018;1;18;1;0
126811;2018;1;19;1;0
77483;2018;1;20;1;0
60321;2018;1;21;1;0
127675;2018;1;22;1;0
125918;2018;1;23;1;0
126861;2018;1;24;1;0
131266;2018;1;25;1;0
128274;2018;1;26;1;0
77585;2018;1;27;1;0
56312;2018;1;28;1;0
110940;2018;1;29;1;0
119278;2018;1;30;1;0
119799;2018;1;31;1;0
127229;2018;2;1;1;0
62987;2018;2;2;1;1
76105;2018;2;3;1;0
57533;2018;2;4;1;0
131822;2018;2;5;1;0
131009;2018;2;6;1;0
123353;2018;2;7;1;0
123689;2018;2;8;1;0
128041;2018;2;9;1;0
84593;2018;2;10;1;0
83846;2018;2;11;1;0
119814;2018;2;12;1;0
97234;2018;2;13;1;0
122447;2018;2;14;1;0
122456;2018;2;15;1;0
122771;2018;2;16;1;0
103059;2018;2;17;1;0
71692;2018;2;18;1;0
127738;2018;2;19;1;0
127110;2018;2;20;1;0
128955;2018;2;21;1;0
128887;2018;2;22;1;0
113721;2018;2;23;1;0
73955;2018;2;24;1;0
38626;2018;2;25;1;0
129640;2018;2;26;1;0
128188;2018;2;27;1;0
94779;2018;2;28;1;0
127991;2018;3;1;1;0
134312;2018;3;2;1;0
78651;2018;3;3;1;0
63113;2018;3;4;1;0
132583;2018;3;5;1;0
131793;2018;3;6;1;0
133369;2018;3;7;1;0
129438;2018;3;8;1;0
134158;2018;3;9;1;0
84750;2018;3;10;1;0
64557;2018;3;11;1;0
131746;2018;3;12;1;0
131216;2018;3;13;1;0
131703;2018;3;14;1;0
123851;2018;3;15;1;0
129442;2018;3;16;1;0
83108;2018;3;17;1;0
61156;2018;3;18;1;0
128767;2018;3;19;1;0
127192;2018;3;20;1;0
127032;2018;3;21;1;0
125550;2018;3;22;1;0
124268;2018;3;23;1;0
74393;2018;3;24;1;0
58941;2018;3;25;1;0
116345;2018;3;26;1;0
114303;2018;3;27;1;0
114270;2018;3;28;1;0
72796;2018;3;29;1;1
57425;2018;3;30;1;1
74009;2018;3;31;1;0
56613;2018;4;1;1;0
121632;2018;4;2;1;0
122526;2018;4;3;1;0
124896;2018;4;4;1;0
121979;2018;4;5;1;0
125457;2018;4;6;1;0
72360;2018;4;7;1;0
53476;2018;4;8;1;0
121327;2018;4;9;1;0
124675;2018;4;10;1;0
122401;2018;4;11;1;0
122781;2018;4;12;1;0
124410;2018;4;13;1;0
74687;2018;4;14;1;0
57100;2018;4;15;1;0
124678;2018;4;16;1;0
123840;2018;4;17;1;0
123255;2018;4;18;1;0
121464;2018;4;19;1;0
119205;2018;4;20;1;0
47833;2018;4;21;1;0
48228;2018;4;22;1;0
114460;2018;4;23;1;0
118382;2018;4;24;1;0
124011;2018;4;25;1;0
122960;2018;4;26;1;0
123179;2018;4;27;1;0
73633;2018;4;28;1;0
62427;2018;4;29;1;0
122207;2018;4;30;1;0
56974;2018;5;1;1;1
123411;2018;5;2;1;0
90387;2018;5;3;1;0
122305;2018;5;4;1;0
75882;2018;5;5;1;0
50310;2018;5;6;1;0
122467;2018;5;7;1;0
121462;2018;5;8;1;0
122484;2018;5;9;1;0
122871;2018;5;10;1;0
123280;2018;5;11;1;0
73047;2018;5;12;1;0
56055;2018;5;13;1;0
120856;2018;5;14;1;0
121305;2018;5;15;1;0
123292;2018;5;16;1;0
120989;2018;5;17;1;0
123164;2018;5;18;1;0
70760;2018;5;19;1;0
54074;2018;5;20;1;0
118285;2018;5;21;1;0
114324;2018;5;22;1;0
116210;2018;5;23;1;0
115557;2018;5;24;1;0
122302;2018;5;25;1;0
71939;2018;5;26;1;0
55323;2018;5;27;1;0
119916;2018;5;28;1;0
117914;2018;5;29;1;0
55722;2018;5;30;1;1
116831;2018;5;31;1;0
121516;2018;6;1;1;0
72455;2018;6;2;1;0
55397;2018;6;3;1;0
118954;2018;6;4;1;0
120345;2018;6;5;1;0
121308;2018;6;6;1;0
121270;2018;6;7;1;0
123913;2018;6;8;1;0
73192;2018;6;9;1;0
60761;2018;6;10;1;0
122259;2018;6;11;1;0
119298;2018;6;12;1;0
120959;2018;6;13;1;0
118557;2018;6;14;1;0
119309;2018;6;15;1;0
74346;2018;6;16;1;0
58141;2018;6;17;1;0
119775;2018;6;18;1;0
117686;2018;6;19;1;0
118974;2018;6;20;1;0
118252;2018;6;21;1;0
118481;2018;6;22;1;0
77883;2018;6;23;0;0
63072;2018;6;24;0;0
125337;2018;6;25;0;0
122786;2018;6;26;0;0
121597;2018;6;27;0;0
119157;2018;6;28;0;0
117336;2018;6;29;0;0
75014;2018;6;30;0;0
60083;2018;7;1;0;0
121864;2018;7;2;0;0
120536;2018;7;3;0;0
120154;2018;7;4;0;0
121613;2018;7;5;0;0
120797;2018;7;6;0;0
77416;2018;7;7;0;0
65137;2018;7;8;0;0
118402;2018;7;9;0;0
123615;2018;7;10;0;0
119563;2018;7;11;0;0
118578;2018;7;12;0;0
119524;2018;7;13;0;0
78423;2018;7;14;0;0
62631;2018;7;15;0;0
117896;2018;7;16;0;0
117424;2018;7;17;0;0
119874;2018;7;18;0;0
120970;2018;7;19;0;0
119024;2018;7;20;0;0
76663;2018;7;21;0;0
64504;2018;7;22;0;0
115420;2018;7;23;0;0
114976;2018;7;24;0;0
120848;2018;7;25;0;0
117041;2018;7;26;0;0
115383;2018;7;27;0;0
