NUM_PASAJEROS;ANIO;MES;DIA;EsEscolar;EsFestivo
36277;2018;1;1;0;1
105424;2018;1;2;0;0
111550;2018;1;3;0;0
112147;2018;1;4;0;0
114757;2018;1;5;0;0
35549;2018;1;6;0;1
55271;2018;1;7;0;0
116020;2018;1;8;1;0
120216;2018;1;9;1;0
121228;2018;1;10;1;0
120127;2018;1;11;1;0
123185;2018;1;12;1;0
75018;2018;1;13;1;0
52847;2018;1;14;1;0
114371;2018;1;15;1;0
114382;2018;1;16;1;0
120703;2018;1;17;1;0
119854;2018;1;18;1;0
122586;2018;1;19;1;0
73192;2018;1;20;1;0
56671;2018;1;21;1;0
123122;2018;1;22;1;0
121313;2018;1;23;1;0
122576;2018;1;24;1;0
126510;2018;1;25;1;0
123547;2018;1;26;1;0
73042;2018;1;27;1;0
52398;2018;1;28;1;0
106517;2018;1;29;1;0
114769;2018;1;30;1;0
115427;2018;1;31;1;0
122405;2018;2;1;1;0
59030;2018;2;2;1;1
71716;2018;2;3;1;0
53861;2018;2;4;1;0
126829;2018;2;5;1;0
125887;2018;2;6;1;0
118911;2018;2;7;1;0
118885;2018;2;8;1;0
122943;2018;2;9;1;0
79838;2018;2;10;1;0
78193;2018;2;11;1;0
113773;2018;2;12;1;0
89298;2018;2;13;1;0
117702;2018;2;14;1;0
117446;2018;2;15;1;0
118212;2018;2;16;1;0
96329;2018;2;17;1;0
66622;2018;2;18;1;0
123078;2018;2;19;1;0
122422;2018;2;20;1;0
123821;2018;2;21;1;0
123130;2018;2;22;1;0
108904;2018;2;23;1;0
70247;2018;2;24;1;0
35330;2018;2;25;1;0
125308;2018;2;26;1;0
122965;2018;2;27;1;0
89580;2018;2;28;1;0
123848;2018;3;1;1;0
129286;2018;3;2;1;0
74231;2018;3;3;1;0
59503;2018;3;4;1;0
128164;2018;3;5;1;0
127264;2018;3;6;1;0
128379;2018;3;7;1;0
124930;2018;3;8;1;0
129611;2018;3;9;1;0
79939;2018;3;10;1;0
60374;2018;3;11;1;0
127154;2018;3;12;1;0
126804;2018;3;13;1;0
126996;2018;3;14;1;0
119472;2018;3;15;1;0
124914;2018;3;16;1;0
78609;2018;3;17;1;0
57563;2018;3;18;1;0
124298;2018;3;19;1;0
122774;2018;3;20;1;0
122251;2018;3;21;1;0
121569;2018;3;22;1;0
120256;2018;3;23;1;0
70412;2018;3;24;1;0
55254;2018;3;25;1;0
111213;2018;3;26;1;0
110140;2018;3;27;1;0
109339;2018;3;28;1;0
69031;2018;3;29;1;1
53643;2018;3;30;1;1
70175;2018;3;31;1;0
53473;2018;4;1;1;0
117690;2018;4;2;1;0
118360;2018;4;3;1;0
120830;2018;4;4;1;0
118730;2018;4;5;1;0
122084;2018;4;6;1;0
68660;2018;4;7;1;0
50768;2018;4;8;1;0
117253;2018;4;9;1;0
121101;2018;4;10;1;0
118847;2018;4;11;1;0
118966;2018;4;12;1;0
120406;2018;4;13;1;0
70855;2018;4;14;1;0
53754;2018;4;15;1;0
120861;2018;4;16;1;0
119934;2018;4;17;1;0
119432;2018;4;18;1;0
117757;2018;4;19;1;0
114981;2018;4;20;1;0
45418;2018;4;21;1;0
45290;2018;4;22;1;0
110622;2018;4;23;1;0
114566;2018;4;24;1;0
120385;2018;4;25;1;0
119339;2018;4;26;1;0
119106;2018;4;27;1;0
70175;2018;4;28;1;0
57292;2018;4;29;1;0
117862;2018;4;30;1;0
53855;2018;5;1;1;1
119586;2018;5;2;1;0
86580;2018;5;3;1;0
118521;2018;5;4;1;0
71961;2018;5;5;1;0
47127;2018;5;6;1;0
117814;2018;5;7;1;0
117537;2018;5;8;1;0
118271;2018;5;9;1;0
118624;2018;5;10;1;0
119205;2018;5;11;1;0
68929;2018;5;12;1;0
52068;2018;5;13;1;0
116510;2018;5;14;1;0
116601;2018;5;15;1;0
116478;2018;5;16;1;0
115604;2018;5;17;1;0
117091;2018;5;18;1;0
65838;2018;5;19;1;0
49062;2018;5;20;1;0
112056;2018;5;21;1;0
109167;2018;5;22;1;0
109638;2018;5;23;1;0
109568;2018;5;24;1;0
115706;2018;5;25;1;0
65682;2018;5;26;1;0
49868;2018;5;27;1;0
112879;2018;5;28;1;0
111250;2018;5;29;1;0
50711;2018;5;30;1;1
110371;2018;5;31;1;0
114959;2018;6;1;1;0
65901;2018;6;2;1;0
49599;2018;6;3;1;0
112008;2018;6;4;1;0
112765;2018;6;5;1;0
114069;2018;6;6;1;0
113531;2018;6;7;1;0
116026;2018;6;8;1;0
66380;2018;6;9;1;0
53334;2018;6;10;1;0
113902;2018;6;11;1;0
111639;2018;6;12;1;0
113007;2018;6;13;1;0
111134;2018;6;14;1;0
111808;2018;6;15;1;0
67137;2018;6;16;1;0
51918;2018;6;17;1;0
110715;2018;6;18;1;0
110204;2018;6;19;1;0
111177;2018;6;20;1;0
110459;2018;6;21;1;0
110495;2018;6;22;1;0
70160;2018;6;23;0;0
56261;2018;6;24;0;0
115638;2018;6;25;0;0
113600;2018;6;26;0;0
112664;2018;6;27;0;0
110632;2018;6;28;0;0
108361;2018;6;29;0;0
67672;2018;6;30;0;0
53137;2018;7;1;0;0
112831;2018;7;2;0;0
111482;2018;7;3;0;0
111019;2018;7;4;0;0
111985;2018;7;5;0;0
110873;2018;7;6;0;0
68794;2018;7;7;0;0
56313;2018;7;8;0;0
108429;2018;7;9;0;0
112811;2018;7;10;0;0
109469;2018;7;11;0;0
108561;2018;7;12;0;0
108750;2018;7;13;0;0
69489;2018;7;14;0;0
54771;2018;7;15;0;0
107012;2018;7;16;0;0
106589;2018;7;17;0;0
