NUM_PASAJEROS;ANIO;MES;DIA
37416;2018;1;1
108274;2018;1;2
114469;2018;1;3
115230;2018;1;4
117620;2018;1;5
36938;2018;1;6
56690;2018;1;7
120975;2018;1;8
125757;2018;1;9
126914;2018;1;10
126312;2018;1;11
129108;2018;1;12
77440;2018;1;13
54623;2018;1;14
119670;2018;1;15
119746;2018;1;16
126512;2018;1;17
125545;2018;1;18
128657;2018;1;19
75710;2018;1;20
58464;2018;1;21
129630;2018;1;22
127934;2018;1;23
129102;2018;1;24
133130;2018;1;25
130349;2018;1;26
75717;2018;1;27
53956;2018;1;28
111621;2018;1;29
121414;2018;1;30
122083;2018;1;31
130163;2018;2;1
60801;2018;2;2
74192;2018;2;3
55345;2018;2;4
134770;2018;2;5
133792;2018;2;6
126770;2018;2;7
126370;2018;2;8
129235;2018;2;9
83023;2018;2;10
81200;2018;2;11
118444;2018;2;12
91943;2018;2;13
122891;2018;2;14
122801;2018;2;15
122934;2018;2;16
99550;2018;2;17
68624;2018;2;18
130558;2018;2;19
130116;2018;2;20
131717;2018;2;21
130732;2018;2;22
115091;2018;2;23
72722;2018;2;24
36158;2018;2;25
132855;2018;2;26
130698;2018;2;27
93524;2018;2;28
131621;2018;3;1
136976;2018;3;2
77246;2018;3;3
61539;2018;3;4
136526;2018;3;5
135921;2018;3;6
136939;2018;3;7
130703;2018;3;8
137401;2018;3;9
82844;2018;3;10
62040;2018;3;11
135235;2018;3;12
135084;2018;3;13
135466;2018;3;14
127379;2018;3;15
132118;2018;3;16
81466;2018;3;17
59323;2018;3;18
131939;2018;3;19
130617;2018;3;20
129782;2018;3;21
129381;2018;3;22
127100;2018;3;23
73051;2018;3;24
56995;2018;3;25
115215;2018;3;26
114165;2018;3;27
112939;2018;3;28
71119;2018;3;29
55392;2018;3;30
72336;2018;3;31
55306;2018;4;1
124701;2018;4;2
126953;2018;4;3
129384;2018;4;4
127477;2018;4;5
130562;2018;4;6
71857;2018;4;7
52698;2018;4;8
126128;2018;4;9
130059;2018;4;10
127361;2018;4;11
128212;2018;4;12
128922;2018;4;13
74369;2018;4;14
56076;2018;4;15
130324;2018;4;16
129526;2018;4;17
129980;2018;4;18
127593;2018;4;19
123612;2018;4;20
48940;2018;4;21
47271;2018;4;22
119971;2018;4;23
124572;2018;4;24
131273;2018;4;25
130297;2018;4;26
129425;2018;4;27
74923;2018;4;28
60375;2018;4;29
127877;2018;4;30
57260;2018;5;1
131122;2018;5;2
94682;2018;5;3
129670;2018;5;4
77087;2018;5;5
50141;2018;5;6
129575;2018;5;7
130488;2018;5;8
131498;2018;5;9
132055;2018;5;10
132468;2018;5;11
74820;2018;5;12
55864;2018;5;13
130161;2018;5;14
131917;2018;5;15
131827;2018;5;16
131577;2018;5;17
133548;2018;5;18
73300;2018;5;19
53650;2018;5;20
127998;2018;5;21
126007;2018;5;22
127235;2018;5;23
128636;2018;5;24
135476;2018;5;25
75549;2018;5;26
56481;2018;5;27
133231;2018;5;28
132881;2018;5;29
59114;2018;5;30
131556;2018;5;31
136546;2018;6;1
76763;2018;6;2
57648;2018;6;3
134893;2018;6;4
136766;2018;6;5
139650;2018;6;6
139912;2018;6;7
141922;2018;6;8
78741;2018;6;9
61469;2018;6;10
138297;2018;6;11
135948;2018;6;12
137565;2018;6;13
135483;2018;6;14
136697;2018;6;15
79580;2018;6;16
59921;2018;6;17
135515;2018;6;18
134304;2018;6;19
136464;2018;6;20
136631;2018;6;21
145728;2018;6;22
83500;2018;6;23
66705;2018;6;24
144558;2018;6;25
140757;2018;6;26
143120;2018;6;27
139593;2018;6;28
136888;2018;6;29
83555;2018;6;30
64591;2018;7;1
141943;2018;7;2
141387;2018;7;3
142038;2018;7;4
142993;2018;7;5
141250;2018;7;6
85133;2018;7;7
70242;2018;7;8
137226;2018;7;9
142304;2018;7;10
138177;2018;7;11
137448;2018;7;12
137564;2018;7;13
85453;2018;7;14
64707;2018;7;15
135885;2018;7;16
135411;2018;7;17
137261;2018;7;18
138280;2018;7;19
136681;2018;7;20
83463;2018;7;21
67208;2018;7;22
131221;2018;7;23
131742;2018;7;24
138824;2018;7;25
135544;2018;7;26
132347;2018;7;27
82915;2018;7;28
66960;2018;7;29
133625;2018;7;30
133069;2018;7;31
132001;2018;8;1
130677;2018;8;2
130084;2018;8;3
82548;2018;8;4
66593;2018;8;5
126915;2018;8;6
126076;2018;8;7
128037;2018;8;8
127051;2018;8;9
130704;2018;8;10
82848;2018;8;11
65640;2018;8;12
121853;2018;8;13
130243;2018;8;14
82769;2018;8;15
128710;2018;8;16
120600;2018;8;17
79506;2018;8;18
63415;2018;8;19
123361;2018;8;20
124345;2018;8;21
123372;2018;8;22
122713;2018;8;23
